iso2,year,m_04,m_514,m_014,m_1524,m_2534,m_3544,m_4554,m_5564,m_65,f_04,f_514,f_014,f_1524,f_2534,f_3544,f_4554,f_5564,f_65
AD,1950,318,559,877,565,422,407,319,215,201,304,543,847,568,457,435,352,265,267
AD,1951,337,600,936,609,476,420,353,235,220,322,584,905,609,511,451,385,290,293
AD,1952,360,646,1006,654,533,440,389,257,241,343,629,972,653,569,474,421,318,321
AD,1953,386,698,1084,700,594,466,427,282,263,368,679,1047,699,630,505,460,348,352
AD,1954,416,756,1172,746,656,497,468,310,287,396,735,1130,745,694,542,503,380,386
AD,1955,448,820,1268,791,718,532,512,342,313,426,796,1222,791,757,582,551,416,422
AD,1956,482,892,1374,835,780,570,560,378,341,459,862,1321,838,820,628,603,455,462
AD,1957,518,969,1487,880,842,613,611,417,371,494,934,1428,885,883,678,658,497,505
AD,1958,557,1051,1607,926,903,663,662,460,403,531,1010,1541,933,945,733,715,542,551
AD,1959,598,1135,1733,977,964,719,712,507,437,571,1088,1659,986,1007,797,771,591,600
AD,1960,642,1220,1862,1033,1026,786,756,556,473,613,1167,1780,1044,1071,869,824,643,653
AD,1961,690,1304,1994,1098,1089,864,795,608,510,659,1245,1904,1109,1137,953,870,698,708
AD,1962,741,1385,2126,1173,1153,953,826,662,550,706,1321,2028,1182,1206,1047,910,755,766
AD,1963,794,1466,2260,1255,1217,1050,854,719,592,755,1398,2153,1261,1274,1147,947,816,827
AD,1964,847,1549,2396,1342,1277,1150,883,778,638,805,1478,2282,1345,1339,1249,985,879,894
AD,1965,898,1639,2538,1431,1334,1248,920,839,689,853,1563,2416,1429,1398,1346,1030,946,966
AD,1966,947,1736,2683,1522,1383,1340,965,903,746,898,1656,2554,1514,1449,1434,1083,1017,1046
AD,1967,992,1841,2832,1615,1427,1427,1020,969,808,941,1756,2697,1601,1492,1514,1144,1092,1133
AD,1968,1034,1951,2985,1709,1470,1509,1085,1034,876,982,1862,2844,1688,1532,1588,1216,1167,1227
AD,1969,1078,2065,3142,1806,1518,1588,1163,1094,948,1024,1971,2994,1778,1576,1659,1298,1237,1326
AD,1970,1122,2179,3302,1905,1577,1665,1252,1144,1023,1066,2081,3147,1869,1631,1730,1392,1299,1428
AD,1971,1171,2295,3465,2005,1651,1742,1357,1182,1099,1112,2192,3304,1962,1700,1805,1501,1349,1535
AD,1972,1221,2411,3632,2107,1739,1817,1476,1208,1178,1159,2304,3463,2057,1784,1882,1623,1387,1645
AD,1973,1271,2525,3797,2210,1839,1888,1603,1226,1257,1206,2413,3620,2154,1878,1957,1753,1419,1758
AD,1974,1317,2633,3950,2313,1944,1952,1729,1245,1338,1248,2517,3765,2251,1977,2025,1879,1450,1873
AD,1975,1353,2734,4088,2418,2048,2007,1845,1272,1418,1282,2612,3894,2351,2075,2083,1994,1489,1989
AD,1976,1380,2824,4204,2523,2150,2052,1945,1309,1498,1305,2696,4001,2450,2169,2128,2090,1536,2106
AD,1977,1397,2905,4302,2628,2252,2089,2030,1356,1577,1321,2769,4090,2550,2262,2163,2169,1592,2224
AD,1978,1410,2984,4394,2740,2357,2128,2107,1418,1658,1332,2840,4172,2658,2359,2198,2240,1662,2344
AD,1979,1426,3072,4498,2869,2473,2182,2189,1501,1741,1346,2920,4266,2781,2467,2248,2316,1754,2471
AD,1980,1448,3176,4624,3018,2606,2261,2284,1607,1828,1365,3016,4381,2923,2592,2322,2408,1871,2606
AD,1981,1478,3300,4778,3195,2759,2370,2397,1743,1919,1393,3131,4524,3089,2738,2427,2521,2020,2750
AD,1982,1513,3439,4952,3393,2927,2507,2523,1909,2013,1425,3260,4686,3276,2900,2559,2650,2200,2901
AD,1983,1546,3574,5120,3598,3101,2661,2649,2090,2107,1456,3387,4843,3467,3068,2706,2781,2396,3054
AD,1984,1569,3683,5252,3785,3266,2813,2758,2265,2199,1478,3489,4967,3641,3228,2852,2893,2583,3204
AD,1985,1579,3751,5329,3937,3413,2952,2837,2417,2292,1487,3553,5040,3784,3371,2983,2972,2741,3351
AD,1986,1571,3769,5341,4044,3535,3069,2880,2533,2383,1481,3572,5052,3884,3489,3094,3012,2856,3490
AD,1987,1553,3748,5301,4111,3637,3170,2893,2618,2475,1464,3553,5017,3948,3587,3188,3020,2932,3627
AD,1988,1533,3710,5243,4161,3733,3267,2899,2685,2577,1446,3518,4964,3997,3682,3279,3019,2989,3773
AD,1989,1523,3685,5209,4224,3851,3379,2927,2758,2702,1438,3496,4934,4058,3797,3385,3041,3054,3949
AD,1990,1533,3691,5224,4321,4005,3519,2997,2854,2860,1447,3503,4950,4152,3948,3522,3107,3147,4172
AD,1991,1565,3736,5301,4462,4208,3697,3120,2983,3061,1478,3546,5024,4289,4149,3698,3227,3278,4454
AD,1992,1616,3808,5424,4635,4452,3904,3288,3135,3302,1525,3614,5139,4456,4389,3904,3395,3439,4789
AD,1993,1674,3883,5556,4806,4705,4120,3481,3289,3562,1578,3684,5262,4622,4639,4120,3588,3603,5148
AD,1994,1721,3931,5652,4933,4926,4316,3666,3414,3807,1621,3729,5350,4744,4856,4317,3771,3737,5482
AD,1995,1746,3938,5684,4986,5084,4472,3817,3490,4014,1644,3734,5378,4795,5012,4475,3921,3815,5755
AD,1996,1745,3897,5642,4956,5161,4576,3925,3507,4166,1643,3695,5337,4764,5088,4584,4025,3828,5945
AD,1997,1723,3825,5548,4859,5172,4638,3997,3477,4269,1623,3625,5248,4669,5099,4650,4093,3789,6062
AD,1998,1696,3746,5442,4735,5154,4685,4053,3431,4349,1598,3549,5146,4547,5081,4702,4145,3733,6145
AD,1999,1683,3693,5376,4635,5163,4760,4124,3411,4446,1586,3498,5084,4447,5086,4779,4214,3704,6254
AD,2000,1697,3688,5385,4590,5238,4894,4236,3446,4591,1600,3491,5091,4400,5150,4911,4324,3733,6432
AD,2001,1743,3737,5480,4610,5393,5102,4396,3547,4799,1644,3536,5180,4415,5287,5113,4485,3833,6700
AD,2002,1815,3829,5644,4679,5611,5371,4597,3703,5058,1712,3622,5335,4477,5480,5372,4688,3991,7040
AD,2003,1903,3946,5849,4772,5859,5674,4820,3895,5345,1796,3731,5526,4560,5697,5661,4914,4187,7421
AD,2004,1991,4059,6050,4854,6083,5971,5045,4095,5622,1879,3836,5715,4633,5892,5940,5141,4390,7787
AD,2005,2068,4152,6220,4903,6246,6230,5253,4279,5859,1952,3922,5874,4674,6030,6178,5352,4576,8102
AD,2006,2130,4219,6348,4915,6337,6438,5442,4442,6047,2009,3983,5993,4679,6103,6364,5540,4740,8351
AD,2007,2179,4267,6446,4901,6367,6605,5615,4590,6195,2055,4027,6082,4659,6121,6507,5712,4888,8547
AD,2008,2218,4306,6524,4873,6352,6739,5779,4725,6320,2091,4062,6153,4626,6099,6616,5872,5023,8711
AD,2009,2251,4349,6601,4845,6315,6858,5945,4855,6447,2121,4101,6222,4593,6056,6710,6032,5152,8874
AD,2010,2281,4407,6688,4829,6271,6977,6120,4984,6593,2148,4154,6302,4572,6007,6803,6199,5279,9061
AD,2011,2307,4481,6788,4826,6224,7098,6306,5111,6766,2173,4222,6395,4564,5952,6896,6373,5405,9278
AD,2012,2329,4567,6896,4834,6169,7214,6500,5236,6961,2193,4302,6495,4566,5888,6984,6552,5527,9518
AD,2013,2346,4660,7006,4851,6111,7319,6697,5363,7171,2208,4389,6597,4578,5821,7063,6732,5650,9775
AD,2014,2359,4754,7113,4876,6052,7405,6894,5500,7387,2220,4476,6696,4597,5755,7126,6908,5784,10039
AD,2015,2369,4841,7210,4906,5998,7466,7086,5652,7603,2228,4558,6786,4623,5693,7167,7076,5932,10300
AD,2016,2375,4922,7296,4942,5951,7501,7272,5822,7816,2234,4633,6866,4655,5641,7185,7234,6099,10558
AD,2017,2378,4996,7374,4985,5913,7511,7451,6008,8031,2236,4702,6938,4694,5599,7184,7384,6282,10818
AD,2018,2379,5063,7442,5036,5885,7500,7621,6208,8251,2237,4764,7001,4742,5566,7164,7523,6478,11081
AD,2019,2380,5121,7501,5097,5863,7470,7783,6416,8479,2238,4818,7055,4799,5541,7127,7653,6680,11353
AD,2020,2381,5170,7551,5169,5846,7424,7935,6628,8718,2238,4863,7102,4867,5520,7075,7774,6883,11637
AD,2021,2383,5209,7592,5253,5836,7364,8076,6841,8968,2240,4899,7139,4945,5506,7009,7886,7086,11933
AD,2022,2386,5238,7624,5347,5832,7290,8205,7056,9231,2243,4926,7169,5034,5500,6930,7987,7289,12241
AD,2023,2391,5258,7649,5447,5838,7209,8318,7271,9507,2248,4944,7192,5127,5501,6845,8073,7489,12564
AD,2024,2398,5273,7672,5547,5853,7129,8407,7484,9798,2255,4958,7213,5221,5512,6761,8139,7684,12903
AD,2025,2409,5285,7693,5643,5877,7057,8470,7693,10105,2265,4968,7233,5311,5533,6685,8183,7871,13259
AD,2026,2422,5294,7716,5732,5912,6996,8505,7896,10430,2278,4976,7254,5395,5563,6621,8202,8049,13635
AD,2027,2440,5301,7741,5815,5956,6947,8512,8091,10772,2294,4982,7276,5472,5603,6569,8199,8215,14028
AD,2028,2461,5308,7769,5890,6011,6909,8494,8277,11130,2314,4988,7302,5542,5654,6529,8174,8370,14437
AD,2029,2486,5316,7803,5956,6078,6881,8456,8452,11501,2337,4995,7333,5602,5716,6497,8130,8514,14860
AD,2030,2516,5328,7844,6010,6159,6859,8400,8615,11883,2365,5005,7371,5653,5791,6472,8069,8647,15294
AD,2031,2550,5343,7893,6053,6253,6845,8327,8766,12275,2397,5019,7417,5692,5880,6455,7993,8768,15737
AD,2032,2588,5364,7951,6085,6359,6840,8239,8903,12677,2433,5038,7471,5721,5979,6447,7902,8877,16189
AD,2033,2630,5390,8019,6107,6472,6846,8144,9020,13087,2472,5063,7535,5740,6085,6449,7805,8969,16649
AD,2034,2674,5422,8097,6121,6584,6862,8050,9112,13505,2514,5093,7607,5752,6191,6460,7708,9037,17115
AD,2035,2721,5463,8184,6132,6691,6890,7966,9176,13931,2558,5131,7689,5761,6291,6482,7620,9079,17588
AD,2036,2770,5510,8281,6140,6790,6928,7894,9208,14362,2605,5176,7781,5767,6383,6514,7544,9094,18063
AD,2037,2821,5566,8387,6144,6881,6976,7837,9211,14797,2652,5228,7881,5769,6467,6555,7481,9082,18540
AD,2038,2872,5630,8502,6148,6961,7036,7793,9187,15233,2700,5289,7989,5772,6541,6607,7430,9045,19016
AD,2039,2922,5701,8623,6153,7031,7109,7759,9141,15667,2748,5356,8103,5775,6605,6673,7389,8988,19490
AD,2040,2970,5780,8750,6162,7089,7197,7733,9078,16096,2793,5430,8223,5783,6658,6753,7356,8914,19959
AD,2041,3015,5865,8880,6175,7136,7299,7715,9000,16517,2835,5511,8346,5795,6700,6846,7331,8825,20421
AD,2042,3057,5957,9013,6194,7171,7412,7707,8911,16928,2874,5597,8471,5812,6731,6951,7315,8726,20872
AD,2043,3095,6053,9148,6219,7196,7533,7711,8813,17325,2910,5688,8598,5836,6752,7063,7310,8617,21311
AD,2044,3131,6153,9284,6251,7211,7657,7728,8711,17705,2944,5782,8725,5866,6763,7178,7319,8505,21732
AD,2045,3164,6255,9419,6291,7217,7780,7761,8607,18065,2975,5878,8852,5904,6767,7292,7343,8392,22132
AD,2046,3194,6357,9551,6339,7219,7896,7809,8510,18401,3003,5974,8977,5949,6766,7401,7381,8285,22507
AD,2047,3221,6458,9679,6396,7218,8002,7870,8425,18709,3029,6068,9097,6003,6763,7499,7433,8192,22853
AD,2048,3245,6554,9800,6463,7219,8093,7941,8363,18985,3051,6159,9210,6066,6762,7583,7495,8120,23166
AD,2049,3266,6643,9909,6541,7226,8164,8017,8335,19223,3071,6242,9313,6139,6767,7648,7562,8081,23441
AD,2050,3282,6723,10005,6632,7245,8212,8090,8353,19418,3086,6316,9402,6223,6784,7690,7628,8086,23675
AE,1950,6106,8836,14942,6582,4808,3506,2568,1731,1132,5924,8541,14465,6325,4620,3370,2514,1777,1249
AE,1951,6177,8827,15004,5929,3784,3022,2436,1791,1250,5998,8471,14469,6208,4534,3340,2553,1806,1336
AE,1952,6360,9083,15443,6098,3835,3061,2474,1829,1291,6176,8700,14876,6349,4640,3407,2605,1841,1375
AE,1953,6592,9455,16047,6604,4381,3343,2590,1856,1292,6399,9076,15475,6610,4836,3522,2663,1878,1390
AE,1954,6828,9841,16669,7107,5001,3667,2720,1876,1280,6625,9484,16109,6890,5049,3648,2720,1916,1400
AE,1955,7041,10177,17218,7406,5429,3903,2822,1896,1277,6830,9855,16685,7128,5231,3762,2773,1952,1414
AE,1956,7226,10448,17674,7450,5567,4003,2879,1919,1292,7009,10161,17170,7305,5366,3856,2822,1987,1440
AE,1957,7395,10678,18073,7332,5472,3994,2900,1947,1325,7173,10416,17589,7436,5463,3937,2871,2021,1478
AE,1958,7579,10930,18509,7262,5341,3968,2916,1983,1367,7351,10672,18023,7571,5556,4017,2924,2057,1524
AE,1959,7818,11292,19110,7539,5467,4067,2973,2027,1411,7582,11004,18586,7786,5695,4125,2989,2099,1568
AE,1960,8155,11848,20003,8443,6143,4431,3116,2081,1439,7904,11488,19392,8147,5931,4284,3072,2147,1605
AE,1961,8615,12646,21261,10120,7538,5141,3375,2149,1451,8342,12164,20506,8694,6294,4509,3180,2206,1631
AE,1962,9200,13668,22868,12487,9608,6175,3745,2238,1457,8897,13016,21913,9403,6776,4796,3315,2277,1654
AE,1963,9877,14821,24698,15189,12044,7386,4185,2357,1489,9541,13953,23494,10185,7325,5121,3475,2358,1692
AE,1964,10598,15967,26565,17721,14400,8563,4630,2519,1589,10229,14846,25075,10910,7863,5445,3655,2450,1774
AE,1965,11341,17027,28368,19771,16441,9594,5051,2735,1780,10942,15626,26568,11500,8351,5750,3856,2554,1911
AE,1966,12128,17968,30096,21092,18051,10411,5415,3000,2073,11699,16261,27960,11938,8795,6023,4071,2663,2113
AE,1967,13016,18884,31900,21943,19607,11196,5783,3316,2453,12554,16846,29400,12306,9267,6296,4311,2781,2372
AE,1968,14071,19984,34055,23130,21985,12387,6326,3705,2899,13570,17589,31159,12758,9880,6651,4604,2927,2670
AE,1969,15371,21553,36924,25766,26360,14579,7278,4195,3372,14826,18770,33596,13501,10783,7192,4991,3129,2987
AE,1970,17000,23800,40800,30600,33600,18200,8800,4800,3847,16400,20600,37000,14700,12100,8000,5500,3400,3303
AE,1971,18893,26792,45685,37849,43651,23387,10991,5549,4324,18234,23139,41373,16371,13863,9130,6155,3762,3623
AE,1972,21087,30489,51576,47111,56284,30038,13797,6425,4806,20360,26357,46717,18511,16105,10571,6947,4203,3952
AE,1973,23878,34872,58750,57733,71910,38043,17038,7344,5266,23047,30263,53310,21234,18955,12248,7816,4668,4266
AE,1974,27650,39879,67529,68763,90987,47192,20451,8194,5666,26643,34837,61480,24672,22563,14047,8682,5081,4531
AE,1975,32629,45456,78085,79435,113595,57309,23858,8903,5993,31351,40052,71403,28896,27032,15900,9493,5393,4734
AE,1976,38996,51594,90590,89802,140249,68430,27179,9427,6219,37344,45920,83264,33942,32330,17762,10206,5572,4852
AE,1977,46548,58282,104830,99885,170201,80543,30510,9812,6361,44433,52418,96851,39718,38402,19699,10856,5648,4901
AE,1978,54654,65452,120106,108863,200718,93346,34057,10179,6494,52028,59429,111457,46009,45289,21887,11558,5716,4963
AE,1979,62444,73017,135461,115730,228138,106454,38119,10701,6718,59309,66798,126107,52518,53032,24565,12471,5904,5136
AE,1980,69300,80900,150200,119900,249900,119600,42900,11500,7103,65700,74400,140100,59000,61600,27900,13700,6300,5497
AE,1981,74901,89111,164012,120836,265066,132595,48456,12618,7683,70885,82215,153100,65487,71125,31940,15301,6936,6076
AE,1982,79434,97620,177054,119066,274554,145532,54689,14012,8424,75048,90235,165283,71977,81423,36605,17211,7770,6841
AE,1983,83403,106260,189663,116384,280011,158770,61469,15607,9247,78710,98370,177080,78167,91758,41769,19278,8730,7696
AE,1984,87571,114823,202394,115276,283977,172838,68601,17286,10034,82653,106519,189172,83685,101154,47243,21287,9709,8519
AE,1985,92450,123179,215629,117513,288461,188092,75927,18964,10696,87399,114622,202021,88326,108950,52874,23084,10627,9212
AE,1986,98256,131169,229425,123809,293900,204828,83513,20627,11213,93175,122564,215739,91900,114840,58669,24629,11478,9752
AE,1987,104694,138873,243567,133613,300177,222891,91378,22296,11612,99675,130384,230059,94638,119130,64631,25977,12274,10167
AE,1988,111156,146681,257837,145877,308118,241654,99276,23970,11945,106249,138351,244600,97277,122532,70604,27191,12980,10488
AE,1989,116780,155145,271925,158964,318579,260230,106889,25652,12283,111971,146847,258818,100831,126089,76392,28372,13559,10764
AE,1990,120968,164621,285589,171688,332218,278075,114046,27350,12684,116203,156116,272319,106029,130577,81880,29603,13989,11036
AE,1991,123546,175164,298710,183740,349576,294637,120519,29103,13161,118751,166156,284907,113080,136341,86948,30922,14240,11306
AE,1992,124785,186519,311304,195527,370816,310334,126512,30924,13700,119897,176768,296665,121767,143253,91683,32338,14340,11566
AE,1993,125083,198342,323425,207420,395718,326735,132812,32771,14297,120055,187736,307791,131862,151064,96433,33876,14400,11844
AE,1994,125042,210139,335181,220037,423812,346012,140490,34581,14931,119854,198757,318611,142965,159333,101679,35555,14573,12170
AE,1995,125134,221485,346619,233798,454769,369572,150274,36341,15598,119785,209538,329323,154730,167813,107754,37407,14970,12565
AE,1996,125384,232527,357911,248301,487870,398580,162368,37992,16281,119880,220268,340148,166978,176217,114921,39433,15662,13034
AE,1997,125750,243204,368954,263187,523180,432235,176394,39632,16994,120087,230833,350920,179630,184852,123066,41687,16620,13570
AE,1998,126543,252660,379203,278938,561973,467629,191770,41586,17765,120713,240300,361013,192536,194741,131700,44324,17725,14164
AE,1999,128130,259802,387932,296211,606025,500675,207635,44290,18641,122113,247447,369560,205547,207265,140118,47540,18803,14803
AE,2000,130727,263979,394706,315189,656165,528694,223279,48038,19648,124496,251539,376035,218443,223290,147880,51469,19744,15474
AE,2001,134557,264587,399144,337054,712716,550010,238785,52977,20845,128085,251987,380072,231427,242968,154769,56192,20495,16200
AE,2002,139457,262183,401640,360979,773876,566175,254138,58986,22210,132726,249378,382104,244213,265572,161154,61661,21143,16977
AE,2003,144783,258703,403486,382797,835692,581639,268448,65772,23588,137788,245590,383378,255550,289951,167904,67725,21883,17714
AE,2004,149628,256830,406458,396886,892893,602686,280604,72902,24769,142387,243230,385617,263812,314498,176216,74158,22987,18302
AE,2005,153354,258429,411783,399693,941427,633591,289941,80057,25630,145898,244134,390032,267974,337840,186950,80798,24647,18669
AE,2006,155679,264273,419952,388870,980630,675561,296421,87015,26123,148042,249001,397043,267448,359936,200146,87658,26956,18774
AE,2007,156816,273615,430431,366837,1010822,726407,300701,93836,26371,149032,257160,406192,262945,380528,215493,94809,29855,18684
AE,2008,157219,284932,442151,340631,1030296,782789,303742,100807,26620,149330,267384,416714,256359,397814,233025,102223,33201,18560
AE,2009,157579,295944,453523,320123,1037349,839794,306883,108365,27211,149636,277801,427437,250348,409582,252698,109881,36771,18637
AE,2010,158381,304989,463370,312248,1031314,893506,311381,116744,28401,150440,287021,437461,246876,414415,274293,117803,40416,19079
AE,2011,159800,311635,471435,319595,1011090,943234,316731,126387,30298,151920,294724,446644,246503,411573,297848,125941,44093,19973
AE,2012,161625,316373,477998,339592,978357,989049,323391,137021,32898,153860,301268,455128,248786,401895,322835,134406,47885,21287
AE,2013,163502,319563,483065,367686,938794,1028714,334660,147341,36228,155885,306741,462626,253439,387547,347738,143568,51913,22927
AE,2014,164906,321875,486781,396918,900111,1059763,354786,155567,40285,157442,311408,468850,259826,371637,370586,153919,56357,24741
AE,2015,165479,323817,489296,422134,868093,1080550,386392,160602,45076,158153,315476,473629,267403,356582,389875,165810,61347,26636
AE,2016,165125,325385,490510,442183,844698,1090226,430756,162029,50531,157915,318865,476780,276243,343030,405220,179149,66987,28597
AE,2017,164034,326418,490452,458437,829161,1089398,485831,160786,56678,156920,321465,478385,286361,330836,416713,193790,73261,30701
AE,2018,162482,327102,489584,471259,821134,1079844,546723,158832,63721,155438,323424,478862,297037,320669,423965,209912,80041,33058
AE,2019,160870,327655,488525,481696,819303,1064250,606580,158890,71924,153866,324952,478818,307344,313085,426688,227727,87136,35825
AE,2020,159509,328229,487738,490565,822532,1044902,660150,163052,81413,152513,326203,478716,316587,308456,424836,247236,94445,39114
AE,2021,158475,328982,487457,497526,831078,1022339,706196,171497,92511,151451,327297,478748,324469,307172,418230,268466,101899,42987
AE,2022,157732,329895,487627,502209,845112,996999,745261,183985,105019,150647,328218,478865,331057,309243,407315,290897,109655,47438
AE,2023,157342,330729,488071,505460,863133,971008,776100,201607,117932,150171,328822,478993,336491,314124,393507,313271,118111,52454
AE,2024,157346,331132,488478,508426,883137,946861,797769,225559,129880,150079,328892,478971,341073,320952,378723,333942,127805,57993
AE,2025,157769,330878,488647,511908,903478,926470,809891,256385,139991,150408,328308,478716,345038,329005,364493,351629,139117,64040
AE,2026,158643,329904,488547,516365,923716,910813,811527,294543,147799,151192,327035,478227,348356,338153,351292,366070,151968,70659
AE,2027,159969,328391,488360,521524,943602,900003,803321,338964,153903,152432,325246,477678,350948,348310,339235,377294,166187,77917
AE,2028,161691,326658,488349,526571,961955,893928,788572,386688,159843,154074,323289,477363,352944,358834,329034,384731,181918,85799
AE,2029,163721,325148,488869,530290,977472,892055,771856,433700,167758,156036,321625,477661,354516,368962,321397,387811,199314,94269
AE,2030,165981,324200,490181,531866,989277,893910,756662,476873,179204,158243,320604,478847,355790,378120,316799,386278,218337,103346
AE,2031,168450,323905,492355,531090,996745,899533,744288,515350,194471,160676,320333,481009,356890,385993,315588,379904,239005,113008
AE,2032,171100,324225,495325,528431,1000136,908958,734423,549205,213083,163305,320775,484080,357816,392576,317685,369180,260818,123385
AE,2033,173829,325207,499036,524582,1000619,921597,726977,577432,234863,166018,321946,487964,358426,398008,322554,355536,282558,134834
AE,2034,176516,326864,503380,520534,999937,936670,721312,599158,259384,168682,323821,492503,358502,402592,329356,340920,302638,147809
AE,2035,179065,329191,508256,517060,999427,953464,717017,613913,286168,171191,326360,497551,357924,406560,337388,326890,319822,162648
AE,2036,181429,332206,513635,514325,999383,971750,714295,621160,315318,173496,329581,503077,356658,409884,346518,313907,333852,179326
AE,2037,183596,335883,519479,512261,999618,991193,713742,621278,346477,175589,333450,509039,354878,412484,356653,302058,344755,197734
AE,2038,185554,340098,525652,511120,1000422,1010843,715718,615978,378098,177455,337808,515263,352929,414489,367152,292047,351980,217971
AE,2039,187304,344683,531987,511136,1002016,1029575,720630,607680,408172,179097,342437,521534,351274,416071,377257,284567,354983,240144
AE,2040,188850,349489,538339,512446,1004540,1046545,728695,598337,435227,180519,347153,527672,350260,417356,386396,280088,353522,264207
AE,2041,190189,354409,544598,515067,1008042,1061353,739868,589030,458652,181723,351843,533566,350047,418397,394287,278787,347764,289942
AE,2042,191318,359369,550687,518899,1012484,1073984,753865,580108,478586,182709,356448,539157,350630,419186,400905,280569,338245,316952
AE,2043,192233,364309,556542,523754,1017742,1084681,770228,571524,495645,183480,360937,544417,351901,419678,406392,285131,325788,344715
AE,2044,192939,369168,562107,529375,1023622,1093796,788401,563210,510595,184048,365284,549332,353733,419813,410964,292026,311406,372625
AE,2045,193447,373856,567303,535465,1029847,1101650,807800,555432,524063,184433,369434,553867,356039,419541,414812,300728,296216,400020
AE,2046,193784,378252,572036,541691,1036079,1108487,827829,548910,536431,184671,373299,557970,358798,418835,418079,310656,281402,426217
AE,2047,193988,382199,576187,547690,1041906,1114451,847904,544887,547783,184810,376748,561558,362071,417690,420837,321183,268205,450503
AE,2048,194109,385504,579613,553072,1046847,1119566,867448,545155,557879,184913,379611,564524,366004,416127,423084,331640,257908,472148
AE,2049,194211,387940,582151,557416,1050352,1123761,885895,552031,566181,185054,381674,566728,370823,414190,424744,341317,251852,490391
AE,2050,194371,389241,583612,560272,1051801,1126853,902683,568352,571849,185324,382685,568009,376836,411950,425675,349457,251428,504457
AF,1950,735627,1058402,1794029,808665,594710,431745,299558,186053,105084,697775,984499,1682274,743519,545369,394061,279913,181679,104796
AF,1951,735835,1088314,1824149,822173,603756,436984,302207,187178,106117,697093,1012004,1709097,754790,553342,399063,282878,182954,106422
AF,1952,739241,1114619,1853860,837338,613624,442481,305055,188418,107158,699623,1035965,1735588,767776,561893,404272,286004,184372,108000
AF,1953,745733,1138487,1884220,853400,624181,448274,308114,189777,108218,705232,1057518,1762750,781735,570938,409710,289299,185933,109550
AF,1954,755134,1160861,1915995,869841,635317,454392,311394,191263,109307,713728,1077583,1791311,796156,580414,415395,292772,187637,111089
AF,1955,767201,1182453,1949654,886383,646947,460866,314902,192881,110435,724857,1096865,1821722,810749,590273,421344,296425,189486,112635
AF,1956,781619,1203735,1985354,903002,659008,467718,318643,194635,111608,738303,1115844,1854147,825470,600482,427574,300263,191482,114201
AF,1957,798010,1224955,2022965,919913,671462,474966,322622,196533,112832,753689,1134784,1888473,840501,611029,434099,304285,193625,115801
AF,1958,815944,1246159,2062103,937532,684294,482628,326838,198579,114115,770594,1153764,1924358,856213,621914,440931,308492,195919,117443
AF,1959,834969,1267257,2102226,956406,697507,490712,331295,200778,115458,788577,1172729,1961306,873104,633152,448082,312881,198368,119137
AF,1960,854688,1288177,2142865,977013,711112,499230,335994,203136,116865,807250,1191636,1998886,891607,644764,455564,317452,200972,120893
AF,1961,874845,1309041,2183886,999542,725123,508189,340943,205658,118344,826360,1210616,2036976,911895,656772,463387,322211,203735,122718
AF,1962,895398,1330319,2225717,1023708,739543,517600,346156,208352,119901,845854,1230115,2075969,933696,669191,471559,327167,206659,124626
AF,1963,916552,1352891,2269443,1048669,754364,527473,351654,211222,121551,865913,1250952,2116865,956222,682029,480093,332340,209742,126633
AF,1964,938667,1377866,2316533,1073254,769576,537820,357463,214275,123301,886865,1274149,2161014,978384,695291,488997,337753,212987,128749
AF,1965,961995,1406034,2368029,1096641,785195,548649,363607,217517,125169,908939,1300435,2209374,999420,709001,498280,343427,216394,130991
AF,1966,986287,1437369,2423656,1118334,800879,559810,369990,220893,127123,931891,1329786,2261677,1018867,722857,507811,349274,219905,133331
AF,1967,1011339,1471608,2482947,1138592,816630,571265,376599,224397,129160,955526,1361951,2317477,1036978,736859,517564,355279,223512,135766
AF,1968,1037483,1508934,2546417,1158258,833208,583235,383621,228130,131344,980159,1397068,2377227,1054567,751670,527757,361613,227309,138356
AF,1969,1065174,1549503,2614677,1178577,851642,596030,391312,232231,133752,1006224,1435232,2441456,1072833,768192,538695,368505,231431,141188
AF,1970,1094574,1593143,2687717,1200361,872482,609782,399792,236763,136423,1033880,1476252,2510132,1092562,786900,550512,376066,235939,144298
AF,1971,1125468,1639438,2764906,1223410,895835,624413,409004,241695,139338,1062926,1519723,2582649,1113580,807888,563147,384247,240800,147665
AF,1972,1157170,1687417,2844587,1247040,920849,639530,418675,246875,142411,1092713,1564744,2657457,1135255,830390,576249,392800,245863,151195
AF,1973,1188729,1735565,2924294,1270923,945887,654530,428431,252097,145521,1122344,1609903,2732247,1157296,852919,589290,401368,250921,154762
AF,1974,1218923,1781975,3000898,1294592,968752,668628,437778,257090,148516,1150666,1653430,2804096,1179284,873475,601575,409489,255700,158194
AF,1975,1246608,1824840,3071448,1317399,987672,681129,446259,261602,151245,1176599,1693650,2870249,1200625,890454,612486,416736,259949,161336
AF,1976,1272399,1865059,3137458,1340337,1002881,692247,454085,265760,153787,1200718,1731393,2932111,1222234,904059,622222,423302,263791,164267
AF,1977,1295875,1901884,3197759,1362764,1014381,701805,461096,269477,156088,1222635,1765958,2988593,1243510,914301,630622,429057,267144,166926
AF,1978,1313737,1930064,3243801,1380527,1020018,708304,466065,272058,157729,1239262,1792460,3031722,1260602,919271,636328,432897,269336,168863
